image_key,native_keys,known_missing_keys,known_paths,game_names,streamed_city,existing_hd_keys,original_width,original_height,ai_width,ai_height,original_alpha_min,original_alpha_max,ai_alpha_min,ai_alpha_max,alpha_mae,alpha_large_difference_fraction,opaque_core_bad_fraction,opaque_core_mean_drop,clear_core_bad_fraction,alpha_status,detail_status,min_resize_mae,original_png,ai_path,ai_sha256,review_id,key,path,source,source_url,decision,visual_review,source_bytes_unchanged,ready_path
32x64:ccc0cd58b7db6e0af79bcf950dd48925b4ac4b1e3eee840da08dc2d1f10ec926,00000000fc7c45920a1b0ccc,00000000fc7c45920a1b0ccc,World/Vegetation/Tree_5.png,,True,,32,64,128,256,0,254,0,255,5.396,0.010254,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,5.5639,originals/32x64_ccc0cd58b7db6e0af79bcf950dd48925b4ac4b1e3eee840da08dc2d1f10ec926.png,ULES00502/ai_upscaled/others/32_64/00000000fc7c45922e82dee0.png,c476f5a00bf1bb457cf57b42746688d97bddf40e0073fdedfa772a2dc6bf452f,0,00000000fc7c45920a1b0ccc,Assets/World/AI/00000000fc7c45922e82dee0.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000fc7c45922e82dee0.png
32x32:351d17c233d916d515cbc6559e6cf8c8e6aa379af634a6d7de766e1dc8e371d3,00000000e33b692972000cbf,,,,True,,32,32,128,128,132,247,103,255,3.0657,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,8.3533,originals/32x32_351d17c233d916d515cbc6559e6cf8c8e6aa379af634a6d7de766e1dc8e371d3.png,ULES00502/ai_upscaled/others/32_32/00000000e33b692971d9171b.png,879fe84c1ddfc6f636e0c5605c30407ab14ade3b7479be5c0ddee9fc6e7c46cf,2,00000000e33b692972000cbf,Assets/World/AI/00000000e33b692971d9171b.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000e33b692971d9171b.png
64x64:c5f0f27102777c8f023161fc560719fe9c27c3962737db6e149be2d21a742304,0000000040a1dcf9e2fafec0,,,,True,,64,64,256,256,99,226,73,255,3.3024,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,11.704,originals/64x64_c5f0f27102777c8f023161fc560719fe9c27c3962737db6e149be2d21a742304.png,ULES00502/ai_upscaled/others/64_64/0000000040a1dcf94e837b50.png,fd1172fca6f54811644c710f658b5b6b3307bac9fe5541eb90dab169dff8115d,5,0000000040a1dcf9e2fafec0,Assets/World/AI/0000000040a1dcf94e837b50.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/0000000040a1dcf94e837b50.png
16x32:86f55cc4d33ec1a4655c267df09b88bb029fd408eeac8cd8f01035c32f2670ec,0000000032ba5cf800f9a210,,,,True,,16,32,64,128,0,255,0,255,5.9989,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,26.4657,originals/16x32_86f55cc4d33ec1a4655c267df09b88bb029fd408eeac8cd8f01035c32f2670ec.png,ULES00502/ai_upscaled/others/16_32/0000000032ba5cf811189eef.png,3bbaa612792224d42071b586a691ef9335aeca56dfed1bb6ca09823f93de9e59,6,0000000032ba5cf800f9a210,Assets/World/AI/0000000032ba5cf811189eef.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/0000000032ba5cf811189eef.png
32x64:b9245b74d54593b5a32bd6149b45a4e4edcb39456bf6d0121400172959be4c0c,00000000e4e9684077c3315e,,,,True,,32,64,128,256,0,245,0,255,6.4559,0.005859,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,17.1447,originals/32x64_b9245b74d54593b5a32bd6149b45a4e4edcb39456bf6d0121400172959be4c0c.png,ULES00502/ai_upscaled/others/32_64/00000000e4e968409d98d437.png,5fb944a0264fadd830bf532c370eea2ad27db7e4310024dfee7a0a3053d95f34,9,00000000e4e9684077c3315e,Assets/World/AI/00000000e4e968409d98d437.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000e4e968409d98d437.png
64x64:8c5782e50e456575ade48c6fe65621dd3e0f4cde986182fb0d3c6c5fb7e5eca9,00000000ca2738839b2fbda4,,,,True,,64,64,256,256,0,243,0,255,2.1518,0.000244,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,12.706,originals/64x64_8c5782e50e456575ade48c6fe65621dd3e0f4cde986182fb0d3c6c5fb7e5eca9.png,ULES00502/ai_upscaled/ui/00000000ca2738832956c4dc.png,2fa532ec89881c6763d35c79f13b81c21e3db14feed32107c13d84c14e27f049,10,00000000ca2738839b2fbda4,Assets/World/AI/00000000ca2738832956c4dc.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000ca2738832956c4dc.png
32x32:2b11b1c84e5edf71fb9c450877fa3db55ce82255320ab8464c36571e05054d08,00000000374e4c662ca49344,,,,True,,32,32,128,128,0,255,0,255,2.571,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,8.1254,originals/32x32_2b11b1c84e5edf71fb9c450877fa3db55ce82255320ab8464c36571e05054d08.png,ULES00502/ai_upscaled/others/32_32/00000000374e4c66f86a2dda.png,047b15fab4bd4d32c8948be22c085682f8767223a1f11463c7383bce686f6cf3,15,00000000374e4c662ca49344,Assets/World/AI/00000000374e4c66f86a2dda.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000374e4c66f86a2dda.png
64x64:d97f565461117314c4708d241e9b1eabd1fe34f32b873652f703d8d64be30e7b,00000000524c2fe866290b15,,,,True,,64,64,256,256,23,253,0,255,2.8966,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,3.5646,originals/64x64_d97f565461117314c4708d241e9b1eabd1fe34f32b873652f703d8d64be30e7b.png,ULES00502/ai_upscaled/others/64_64/00000000524c2fe84da3a61f.png,66bbd0194cfc01f31aa39718fea9ac4fdd85d242a64ac14925efdf3ca28e9dc6,16,00000000524c2fe866290b15,Assets/World/AI/00000000524c2fe84da3a61f.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000524c2fe84da3a61f.png
32x64:9744f08188c4e929bd2f07cffd8f252c80abbef4ffd1d547a674816972b45935,00000000b59c16425dc04489,,,,True,,32,64,128,256,0,250,0,255,5.0205,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,10.4867,originals/32x64_9744f08188c4e929bd2f07cffd8f252c80abbef4ffd1d547a674816972b45935.png,ULES00502/ai_upscaled/others/32_64/00000000b59c16424200ebe2.png,8ca903ff757da5f606e65a4861a88be201fea40f963efbead68dd3e979d5d1dd,17,00000000b59c16425dc04489,Assets/World/AI/00000000b59c16424200ebe2.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/00000000b59c16424200ebe2.png
64x64:71272f6aa422e5ef3c3edf49459045460e68bfa4035129182cba8517b95ae52e,000000008a26d21b8942f5d9,,,,True,,64,64,256,256,64,255,35,255,2.5822,0.0,0.0,0.0,0.0,alpha_compatible_numeric,visual_review_required,3.0123,originals/64x64_71272f6aa422e5ef3c3edf49459045460e68bfa4035129182cba8517b95ae52e.png,ULES00502/ai_upscaled/others/64_64/000000008a26d21b7e6aa522.png,cf4427177e020cf26ef4decf86b90cc9d3c3c9ac0a88c6921052ede312f28cb4,18,000000008a26d21b8942f5d9,Assets/World/AI/000000008a26d21b7e6aa522.png,efonte,https://forums.ppsspp.org/showthread.php?tid=26729,accepted_static,Sharper visible detail; recognizable layout and acceptable visible alpha mask in static comparison,True,Assets/000000008a26d21b7e6aa522.png
